codigoestacion,codigosensor,fechaobservacion,valorobservado,nombreestacion,departamento,municipio,zonahidrografica,latitud,longitud,descripcionsensor,unidadmedida,
21105501,103,2017-07-14T20:35:00.000,0.717792,ALGECIRAS  - AUT,HUILA,ALGECIRAS,ALTO MAGDALENA,2.595.027.778,-7.522.852.778,Velocidad Viento (10 min),m/s,
21015060,103,2019-01-05T12:10:00.000,4.7,MARENGO  - AUT,HUILA,PITALITO,ALTO MAGDALENA,2.221.111.111,-7.611.888.889,Velocidad Viento (10 min),m/s,
21045501,103,2017-08-25T20:10:00.000,0.7404042,OPORAPA  - AUT,HUILA,OPORAPA,ALTO MAGDALENA,2.041.941.667,-7.601.191.667,Velocidad Viento (10 min),m/s,
21206930,103,2017-06-23T08:40:00.000,1.6,PARAMO GUERRERO  - AUT,CUNDINAMARCA,ZIPAQUIRA,ALTO MAGDALENA,5.086.444.444,-7.402.216.667,Velocidad Viento (10 min),m/s,
21195170,103,2011-05-18T05:20:00.000,3,PAQUILO - AUT,CUNDINAMARCA,CABRERA,ALTO MAGDALENA,3.993.611.111,-7.439.805.556,Velocidad Viento (10 min),m/s,
21206980,103,2015-09-06T23:10:00.000,2.2,SANTA CRUZ DE SIECHA  - AUT,CUNDINAMARCA,GUASCA,ALTO MAGDALENA,4.784.277.778,-7.387.080.556,Velocidad Viento (10 min),m/s,
21205710,103,2017-10-21T06:30:00.000,0.1,JARDIN BOTANICO  - AUT,BOGOTA,BOGOTA, D.C,ALTO MAGDALENA,4.669.333.333,-7.410.266.667,Velocidad Viento (10 min),m/s
21205940,103,2019-07-18T04:20:00.000,0.9,VILLA INES  - AUT,CUNDINAMARCA,FACATATIVA,ALTO MAGDALENA,4.834.972.222,-7.438.397.222,Velocidad Viento (10 min),m/s,
21197430,103,2007-09-27T11:50:00.000,2.53,PROVIDENCIA - PROVIDENCIA,CUNDINAMARCA,FUSAGASUGA,ALTO MAGDALENA,4.367,-74.3,Velocidad Viento (10 min),m/s,
21015502,103,2018-03-11T04:30:00.000,0.01682646,SAN AGUSTIN  - AUT,HUILA,SAN AGUSTIN,ALTO MAGDALENA,1.851.416.667,-7.630.433.056,Velocidad Viento (10 min),m/s,
21205012,103,2014-11-17T06:00:00.000,1.6,UNIVERSIDAD NACIONAL  - AUT,BOGOTA,BOGOTA, D.C,ALTO MAGDALENA,4.638.083.333,-7.408.908.333,Velocidad Viento (10 min),m/s
21206980,103,2014-04-15T20:50:00.000,0.9,SANTA CRUZ DE SIECHA  - AUT,CUNDINAMARCA,GUASCA,ALTO MAGDALENA,4.784.277.778,-7.387.080.556,Velocidad Viento (10 min),m/s,
21055501,103,2016-08-05T11:35:00.000,3.8,SIMON CAMPOS  - AUT,HUILA,LA PLATA,ALTO MAGDALENA,2.345.830.556,-7.587.805.556,Velocidad Viento (10 min),m/s,
21206990,103,2011-02-06T03:40:00.000,2.2,TIBAITATA - AUT,CUNDINAMARCA,MOSQUERA,ALTO MAGDALENA,4.691.416.667,-74.209,Velocidad Viento (10 min),m/s,
21195160,103,2009-11-09T00:10:00.000,0.8,SUBIA,CUNDINAMARCA,SILVANIA,ALTO MAGDALENA,4.477,-74.384,Velocidad Viento (10 min),m/s,
21115170,103,2017-10-18T05:40:00.000,6,LA PLATA - AUT,HUILA,NEIVA,ALTO MAGDALENA,2.759.138.889,-7.507.455.556,Velocidad Viento (10 min),m/s,
21015502,103,2017-10-22T17:30:00.000,1.587.623,SAN AGUSTIN  - AUT,HUILA,SAN AGUSTIN,ALTO MAGDALENA,1.851.416.667,-7.630.433.056,Velocidad Viento (10 min),m/s,
21015070,103,2018-03-22T03:30:00.000,2.9,LOS GUACHAROS  - AUT,HUILA,PALESTINA,ALTO MAGDALENA,1.675.833,-76.106.841,Velocidad Viento (10 min),m/s,
21055070,103,2018-11-28T03:00:00.000,0.2,INZA - AUT,CAUCA,INZA,ALTO MAGDALENA,2.548.194.444,-7.606.394.444,Velocidad Viento (10 min),m/s,
21206950,103,2016-12-11T05:30:00.000,1.9,PARAMO GUACHENEQUE  - AUT,CUNDINAMARCA,VILLAPINZON,ALTO MAGDALENA,5.236.055.556,-7.352.508.333,Velocidad Viento (10 min),m/s,
21195170,103,2010-06-21T05:00:00.000,3.6,PAQUILO - AUT,CUNDINAMARCA,CABRERA,ALTO MAGDALENA,3.993.611.111,-7.439.805.556,Velocidad Viento (10 min),m/s,
21206980,103,2013-01-28T04:10:00.000,0.9,SANTA CRUZ DE SIECHA  - AUT,CUNDINAMARCA,GUASCA,ALTO MAGDALENA,4.784.277.778,-7.387.080.556,Velocidad Viento (10 min),m/s,
21015070,103,2012-09-30T15:30:00.000,3.2,LOS GUACHAROS  - AUT,HUILA,PALESTINA,ALTO MAGDALENA,1.675.833,-76.106.841,Velocidad Viento (10 min),m/s,
21206960,103,2016-11-21T16:50:00.000,2.1,IDEAM BOGOTA  - AUT,BOGOTA,BOGOTA, D.C,ALTO MAGDALENA,4.6,-7.406.666.667,Velocidad Viento (10 min),m/s
21015070,103,2007-01-16T17:50:00.000,2.9,LOS GUACHAROS  - AUT,HUILA,PALESTINA,ALTO MAGDALENA,1.675.833,-76.106.841,Velocidad Viento (10 min),m/s,
21055070,103,2005-12-17T12:30:00.000,1.6,INZA - AUT,CAUCA,INZA,ALTO MAGDALENA,2.548.194.444,-7.606.394.444,Velocidad Viento (10 min),m/s,
21206980,103,2017-10-20T18:00:00.000,1.1,SANTA CRUZ DE SIECHA  - AUT,CUNDINAMARCA,GUASCA,ALTO MAGDALENA,4.784.277.778,-7.387.080.556,Velocidad Viento (10 min),m/s,
21055070,103,2018-07-16T07:50:00.000,0.4,INZA - AUT,CAUCA,INZA,ALTO MAGDALENA,2.548.194.444,-7.606.394.444,Velocidad Viento (10 min),m/s,
21206280,103,2019-07-13T02:40:00.000,1.3,ACAPULCO,CUNDINAMARCA,BOJACA,ALTO MAGDALENA,4.653.833.333,-7.433.305.556,Velocidad Viento (10 min),m/s,
21215180,103,2019-08-24T00:10:00.000,0.7,BATALLON ROOKE  - AUT,TOLIMA,IBAGUE,ALTO MAGDALENA,4.418.388.889,-7.524.866.667,Velocidad Viento (10 min),m/s,
21055070,103,2017-02-20T01:30:00.000,0.7,INZA - AUT,CAUCA,INZA,ALTO MAGDALENA,2.548.194.444,-7.606.394.444,Velocidad Viento (10 min),m/s,
21206960,103,2009-10-31T15:40:00.000,0.9,IDEAM BOGOTA  - AUT,BOGOTA,BOGOTA, D.C,ALTO MAGDALENA,4.6,-7.406.666.667,Velocidad Viento (10 min),m/s
21185090,103,2019-07-14T14:30:00.000,1.6,NATAIMA - AUT,TOLIMA,ESPINAL,ALTO MAGDALENA,4.188.138.889,-7.496.047.222,Velocidad Viento (10 min),m/s,
21205012,103,2014-01-28T15:10:00.000,4.6,UNIVERSIDAD NACIONAL  - AUT,BOGOTA,BOGOTA, D.C,ALTO MAGDALENA,4.638.083.333,-7.408.908.333,Velocidad Viento (10 min),m/s
21205791,103,2019-02-03T05:30:00.000,3.2,APTO EL DORADO - TX GPRS,BOGOTA D.C.,BOGOTA, D.C,ALTO MAGDALENA,4.706,-74.151,Velocidad Viento (10 min),m/s
21085501,103,2019-04-07T20:00:00.000,3.177.775,TERUEL  - AUT,HUILA,TERUEL,ALTO MAGDALENA,2.762.997.222,-7.561.144.167,Velocidad Viento (10 min),m/s,
21015040,103,2010-08-23T00:20:00.000,1.6,LA PRIMAVERA - AUT,HUILA,SALADOBLANCO,ALTO MAGDALENA,2.021.583.333,-7.611.433.333,Velocidad Viento (10 min),m/s,
21206950,103,2012-08-27T10:40:00.000,5,PARAMO GUACHENEQUE  - AUT,CUNDINAMARCA,VILLAPINZON,ALTO MAGDALENA,5.236.055.556,-7.352.508.333,Velocidad Viento (10 min),m/s,
21165501,103,2018-06-30T16:25:00.000,2.374.333,DOLORES  - AUT,TOLIMA,DOLORES,ALTO MAGDALENA,3.537.155.556,-7.482.982.778,Velocidad Viento (10 min),m/s,
21195190,103,2011-03-26T06:00:00.000,1.2,PASCA - AUT,CUNDINAMARCA,PASCA,ALTO MAGDALENA,4.310.111.111,-7.431.175,Velocidad Viento (10 min),m/s,
21255170,103,2006-05-08T11:00:00.000,2.1,MURILLO - AUT,TOLIMA,MURILLO,ALTO MAGDALENA,4.870.555.556,-7.517.327.778,Velocidad Viento (10 min),m/s,
21255160,103,2019-01-09T23:20:00.000,3,HACIENDA PAJONALES,TOLIMA,AMBALEMA,ALTO MAGDALENA,4.760.722.222,-7.483.425,Velocidad Viento (10 min),m/s,
21185501,103,2019-02-06T01:30:00.000,0.008477448,ROVIRA  - AUT,TOLIMA,ROVIRA,ALTO MAGDALENA,4.266.666.667,-7.528.305.556,Velocidad Viento (10 min),m/s,
21235030,103,2011-02-18T07:30:00.000,2.9,UNIVERSIDAD DE CUNDINAMARCA - AUT,CUNDINAMARCA,GIRARDOT,ALTO MAGDALENA,4.305.333.333,-7.480.811.111,Velocidad Viento (10 min),m/s,
21206920,103,2009-06-25T09:40:00.000,3.3,VILLA TERESA - AUT,BOGOTA,BOGOTA, D.C,ALTO MAGDALENA,4.35,-74.15,Velocidad Viento (10 min),m/s
21115501,103,2019-06-23T01:40:00.000,0.001625395,TELLO  - AUT,HUILA,TELLO,ALTO MAGDALENA,2.960.666.667,-7.502.849.722,Velocidad Viento (10 min),m/s,
21206790,103,2016-08-07T05:40:00.000,0.3,HACIENDA SANTA ANA - AUT,CUNDINAMARCA,NEMOCON,ALTO MAGDALENA,50.905,-7.388.125,Velocidad Viento (10 min),m/s,
21115180,103,2018-06-15T07:00:00.000,3.4,HACIENDA MANILA - AUT,HUILA,BARAYA,ALTO MAGDALENA,3.133.055.556,-7.508.152.778,Velocidad Viento (10 min),m/s,
21115501,103,2019-06-13T15:35:00.000,0.5485088,TELLO  - AUT,HUILA,TELLO,ALTO MAGDALENA,2.960.666.667,-7.502.849.722,Velocidad Viento (10 min),m/s,
21215180,103,2016-05-06T17:40:00.000,0.9,BATALLON ROOKE  - AUT,TOLIMA,IBAGUE,ALTO MAGDALENA,4.418.388.889,-7.524.866.667,Velocidad Viento (10 min),m/s,
21255170,103,2017-12-18T23:50:00.000,1.2,MURILLO - AUT,TOLIMA,MURILLO,ALTO MAGDALENA,4.870.555.556,-7.517.327.778,Velocidad Viento (10 min),m/s,
21255160,103,2016-09-14T13:10:00.000,2,HACIENDA PAJONALES,TOLIMA,AMBALEMA,ALTO MAGDALENA,4.760.722.222,-7.483.425,Velocidad Viento (10 min),m/s,
21105501,103,2017-11-27T17:10:00.000,1.646.897,ALGECIRAS  - AUT,HUILA,ALGECIRAS,ALTO MAGDALENA,2.595.027.778,-7.522.852.778,Velocidad Viento (10 min),m/s,
21015040,103,2007-05-11T13:50:00.000,2.9,LA PRIMAVERA - AUT,HUILA,SALADOBLANCO,ALTO MAGDALENA,2.021.583.333,-7.611.433.333,Velocidad Viento (10 min),m/s,
21215180,103,2014-06-22T16:10:00.000,1.1,BATALLON ROOKE  - AUT,TOLIMA,IBAGUE,ALTO MAGDALENA,4.418.388.889,-7.524.866.667,Velocidad Viento (10 min),m/s,
21115010,103,2006-08-25T09:30:00.000,2.8,DESIERTO TATACOA,HUILA,VILLAVIEJA,ALTO MAGDALENA,3.234,-75.168,Velocidad Viento (10 min),m/s,
21045501,103,2016-08-20T00:10:00.000,3.6,OPORAPA  - AUT,HUILA,OPORAPA,ALTO MAGDALENA,2.041.941.667,-7.601.191.667,Velocidad Viento (10 min),m/s,
21206600,103,2018-11-03T12:30:00.000,1.6,NUEVA GENERACION  - AUT,BOGOTA,BOGOTA, D.C,ALTO MAGDALENA,4.782.222.222,-7.409.433.333,Velocidad Viento (10 min),m/s
21115170,103,2017-08-28T18:50:00.000,2.5,LA PLATA - AUT,HUILA,NEIVA,ALTO MAGDALENA,2.759.138.889,-7.507.455.556,Velocidad Viento (10 min),m/s,
21206790,103,2015-10-23T16:40:00.000,1.8,HACIENDA SANTA ANA - AUT,CUNDINAMARCA,NEMOCON,ALTO MAGDALENA,50.905,-7.388.125,Velocidad Viento (10 min),m/s,
21015060,103,2013-04-17T02:00:00.000,1.2,MARENGO  - AUT,HUILA,PITALITO,ALTO MAGDALENA,2.221.111.111,-7.611.888.889,Velocidad Viento (10 min),m/s,
21015050,103,2017-01-31T10:30:00.000,0.7,PURACE  - AUT,HUILA,SAN AGUSTIN,ALTO MAGDALENA,1.925.916.667,-7.642.755.556,Velocidad Viento (10 min),m/s,
21206980,103,2007-08-08T21:30:00.000,0.6,SANTA CRUZ DE SIECHA  - AUT,CUNDINAMARCA,GUASCA,ALTO MAGDALENA,4.784.277.778,-7.387.080.556,Velocidad Viento (10 min),m/s,
21206990,103,2016-04-07T05:10:00.000,1,TIBAITATA - AUT,CUNDINAMARCA,MOSQUERA,ALTO MAGDALENA,4.691.416.667,-74.209,Velocidad Viento (10 min),m/s,
21206950,103,2016-11-02T05:50:00.000,1.2,PARAMO GUACHENEQUE  - AUT,CUNDINAMARCA,VILLAPINZON,ALTO MAGDALENA,5.236.055.556,-7.352.508.333,Velocidad Viento (10 min),m/s,
21065501,103,2019-03-25T05:35:00.000,1.495.609,JORGE VILLAMIL  - AUT,HUILA,GIGANTE,ALTO MAGDALENA,2.325.552.778,-7.550.972.222,Velocidad Viento (10 min),m/s,
21185090,103,2015-12-04T14:30:00.000,0.6,NATAIMA - AUT,TOLIMA,ESPINAL,ALTO MAGDALENA,4.188.138.889,-7.496.047.222,Velocidad Viento (10 min),m/s,
21115170,103,2013-02-17T02:20:00.000,3.7,LA PLATA - AUT,HUILA,NEIVA,ALTO MAGDALENA,2.759.138.889,-7.507.455.556,Velocidad Viento (10 min),m/s,
21206980,103,2012-01-15T15:30:00.000,4.4,SANTA CRUZ DE SIECHA  - AUT,CUNDINAMARCA,GUASCA,ALTO MAGDALENA,4.784.277.778,-7.387.080.556,Velocidad Viento (10 min),m/s,
21205660,103,2019-03-12T23:40:00.000,0.9,MERCEDES - AUT,CUNDINAMARCA,ANAPOIMA,ALTO MAGDALENA,4.581.888.889,-7.452.661.111,Velocidad Viento (10 min),m/s,
21165501,103,2016-08-01T07:55:00.000,2.3,DOLORES  - AUT,TOLIMA,DOLORES,ALTO MAGDALENA,3.537.155.556,-7.482.982.778,Velocidad Viento (10 min),m/s,
21185090,103,2010-06-30T07:50:00.000,1.1,NATAIMA - AUT,TOLIMA,ESPINAL,ALTO MAGDALENA,4.188.138.889,-7.496.047.222,Velocidad Viento (10 min),m/s,
21206790,103,2005-07-08T14:50:00.000,3.4,HACIENDA SANTA ANA - AUT,CUNDINAMARCA,NEMOCON,ALTO MAGDALENA,50.905,-7.388.125,Velocidad Viento (10 min),m/s,
21045501,103,2017-08-08T14:15:00.000,3.164.654,OPORAPA  - AUT,HUILA,OPORAPA,ALTO MAGDALENA,2.041.941.667,-7.601.191.667,Velocidad Viento (10 min),m/s,
21255170,103,2012-04-08T05:50:00.000,0.7,MURILLO - AUT,TOLIMA,MURILLO,ALTO MAGDALENA,4.870.555.556,-7.517.327.778,Velocidad Viento (10 min),m/s,
21195170,103,2014-07-29T20:00:00.000,3,PAQUILO - AUT,CUNDINAMARCA,CABRERA,ALTO MAGDALENA,3.993.611.111,-7.439.805.556,Velocidad Viento (10 min),m/s,
